a52dec 0.8.0-2
aalib 1.4rc5-18
abseil-cpp 20250127.1-1
accounts-qml-module 0.7-6
accountsservice 23.13.9-2
acl 2.3.2-1
ada 3.2.1-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adwaita-cursors 48.0-1
adwaita-fonts 48.2-1
adwaita-icon-theme 48.0-1
adwaita-icon-theme-legacy 46.2-3
alacritty 0.15.1-1
alsa-card-profiles 1:1.4.2-1
alsa-lib 1.2.14-1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.14-1
alsa-utils 1.2.14-1
ananicy 2.2.1-1
android-tools 35.0.2-14
android-udev 20250314-1
aom 3.12.1-1
apache 2.4.63-1
appstream 1.0.5-1
appstream-glib 0.8.3-2
apr 1.7.5-3
apr-util 1.6.3-2
apt 3.0.1-1
aquamarine 0.8.0-3
arc-gtk-theme 20221218-2
archlinux-keyring 20250123-1
argon2 20190702-6
aribb24 1.0.3-4
at-spi2-core 2.56.2-1
atkmm 2.28.4-1
attica 6.13.0-1
attr 2.5.2-1
aubio 0.4.9-21
audit 4.0.3-1
aurutils 20.4-1
autoconf 2.72-1
autoconf-archive 1:2024.10.16-2
automake 1.17-1
avahi 1:0.8+r194+g3f79789-3
ayatana-ido 0.10.4-1
babl 0.1.112-1
baloo 6.13.0-1
baloo-widgets 25.04.0-1
baobab 48.0-3
base 3-2
base-devel 1-2
bash 5.2.037-2
bash-completion 2.16.0-1
bat 0.25.0-4
bc 1.08.1-1
bibata-cursor-theme-bin 2.0.7-1
binutils 2.44-1
bison 3.8.2-8
blas 3.12.1-2
blueman 2.4.4-1
bluez 5.82-1
bluez-libs 5.82-1
bluez-utils 5.82-1
bolt 0.9.8-1
boost-libs 1.87.0-3
brave-bin 1:1.77.101-1
breeze 6.3.4-1
breeze-icons 6.13.0-1
brightnessctl 0.5.1-3
brltty 6.7-5
brotli 1.1.0-3
btrfs-progs 6.14-1
bubblewrap 0.11.0-1
bzip2 1.0.8-6
c-ares 1.34.5-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.110-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm 1.14.5-1
cairomm-1.16 1.18.0-1
camlidl 1.12-2
camlidl-debug 1.12-2
camlp-streams 5.0.1-9
cantarell-fonts 1:0.303.1-2
capstone 5.0.6-1
cblas 3.12.1-2
cdparanoia 10.2-9
cdrtools 3.02a09-6
chatgpt-desktop-bin 1.1.0-1
chatgpt-desktop-bin-debug 1.1.0-1
checkupdates-with-aur 1.0-1
chromaprint 1.5.1-10
cifs-utils 7.3-1
cliphist 1:0.6.1-1
clucene 2.3.3.4-16
cmake 4.0.1-1
cmatrix 2.0-3
colord 1.4.7-2
colord-gtk-common 0.3.1-1
colord-gtk4 0.3.1-1
colord-sane 1.4.7-2
composefs 1.0.7-1
convertlit 1.8-12
coreutils 9.7-1
cpio 2.15-2
cppdap 1.58.0-2
cppo 1.8.0-1
cracklib 2.10.3-1
cryptsetup 2.7.5-2
cups-pk-helper 0.2.7-2
curl 8.13.0-2
dav1d 1.5.1-1
db 6.2.32-1
db5.3 5.3.28-5
dbus 1.16.2-1
dbus-broker 36-4
dbus-broker-units 36-4
dbus-glib 0.114-1
dbus-units 36-4
dconf 0.40.0-3
debugedit 5.1-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.31-1
diffutils 3.12-2
discord 1:0.0.92-1
djvulibre 3.5.28-6
dnf5 5.2.12.0-1
docbook-xml 4.5-10
dolphin 25.04.0-2
dotconf 1.4.1-1
dotnet-host 9.0.4.sdk105-1
dotnet-runtime 9.0.4.sdk105-1
